,date,open,close,high,low,volumme,Unnamed: 0
997,2024-05-28 00:00:00,76.24,75.33,76.24,75.33,5966,
998,2024-05-29 00:00:00,75.34,74.68,75.34,74.48,2432,
999,2024-05-30 00:00:00,74.33,74.8,74.8,74.29,452,
1000,2024-05-31 00:00:00,74.75,74.63,74.94,74.48,331,
1001,2024-06-03 00:00:00,75.5,75.01,75.5,75.0,842,
1002,2024-06-04 00:00:00,75.06,74.94,75.19,74.5,634,
1003,2024-06-05 00:00:00,75.23,75.75,75.78,75.13,212,
1004,2024-06-06 00:00:00,76.3,76.09,76.49,76.07,65,
1005,2024-06-07 00:00:00,76.14,75.76,76.14,75.55,145,
1006,2024-06-10 00:00:00,75.16,75.16,75.17,74.83,238,
1007,2024-06-11 00:00:00,75.56,74.39,75.56,74.35,3444,
1008,2024-06-12 00:00:00,74.63,75.72,75.72,74.63,864,
1009,2024-06-13 00:00:00,75.68,74.61,75.68,74.61,380,
1010,2024-06-14 00:00:00,74.34,72.79,74.34,72.79,381,
1011,2024-06-17 00:00:00,73.34,73.17,73.7,72.77,539,
1012,2024-06-18 00:00:00,73.81,73.73,73.81,73.52,4118,
1013,2024-06-19 00:00:00,73.79,73.43,73.79,73.43,642,
1014,2024-06-20 00:00:00,73.56,74.26,74.26,73.56,225,
1015,2024-06-21 00:00:00,74.08,73.71,74.08,73.71,17,
0,2020-07-09,51.54,50.89,51.54,50.89,0,0.0
1,2020-07-10,50.66,51.29,51.29,50.66,0,1.0
2,2020-07-13,51.89,52.11,52.11,51.89,0,2.0
3,2020-07-14,51.44,51.69,51.69,51.44,0,3.0
4,2020-07-15,52.04,52.38,52.38,52.04,0,4.0
5,2020-07-16,52.05,52.23,52.23,52.05,0,5.0
6,2020-07-17,52.35,52.21,52.35,52.21,0,6.0
7,2020-07-20,52.07,52.71,52.71,52.07,0,7.0
8,2020-07-21,52.91,52.91,52.91,52.91,0,8.0
9,2020-07-22,52.7,52.53,52.7,52.53,0,9.0
10,2020-07-23,52.85,52.64,52.85,52.64,0,10.0
11,2020-07-24,51.92,51.66,51.92,51.66,45,11.0
12,2020-07-27,51.63,51.66,51.66,51.63,0,12.0
13,2020-07-28,51.63,51.57,51.63,51.36,4,13.0
14,2020-07-29,51.68,51.62,51.7,51.62,5,14.0
15,2020-07-30,51.47,50.3,51.47,49.885,2,15.0
16,2020-07-31,50.74,49.85,50.74,49.85,54,16.0
17,2020-08-03,50.03,50.87,50.87,50.03,169,17.0
18,2020-08-04,51.17,50.81,51.17,50.81,0,18.0
19,2020-08-05,51.15,51.04,51.23,51.04,152,19.0
20,2020-08-06,50.86,50.63,50.86,50.63,66,20.0
21,2020-08-07,50.63,50.86,50.86,50.63,66,21.0
22,2020-08-10,50.93,50.91,50.93,50.78,2,22.0
23,2020-08-11,51.4,51.86,52.13,51.4,121,23.0
24,2020-08-12,51.74,52.41,52.45,51.74,14,24.0
25,2020-08-13,52.34,52.17,52.37,52.17,22,25.0
26,2020-08-14,51.89,51.69,51.89,51.25,41,26.0
27,2020-08-17,51.67,51.67,51.67,51.38,39,27.0
28,2020-08-18,51.43,51.49,51.49,51.43,20,28.0
29,2020-08-19,51.34,51.82,51.82,51.34,20,29.0
30,2020-08-20,51.18,51.21,51.21,51.18,0,30.0
31,2020-08-21,51.38,51.08,51.38,50.79,24,31.0
32,2020-08-24,51.69,52.1,52.16,51.69,116,32.0
33,2020-08-25,52.49,52.17,52.6,52.17,139,33.0
34,2020-08-26,52.03,52.72,52.72,52.03,136,34.0
35,2020-08-27,52.67,52.2,52.67,52.2,1431,35.0
36,2020-08-28,52.22,52.0,52.22,52.0,56,36.0
37,2020-08-31,52.86,51.65,52.86,51.65,112,37.0
38,2020-09-01,51.77,51.5,51.77,51.5,8,38.0
39,2020-09-02,51.88,52.36,52.36,51.88,0,39.0
40,2020-09-03,53.04,51.72,53.11,51.72,30,40.0
41,2020-09-04,51.24,51.27,51.27,50.94,37,41.0
42,2020-09-07,51.44,51.9,51.9,51.21,151,42.0
43,2020-09-08,52.0,51.26,52.0,51.17,11,43.0
44,2020-09-09,51.46,52.34,52.34,51.46,4,44.0
45,2020-09-10,52.31,52.05,52.31,52.05,4,45.0
46,2020-09-11,51.97,52.09,52.09,51.97,84,46.0
47,2020-09-14,52.41,52.24,52.41,52.24,0,47.0
48,2020-09-15,52.29,52.49,52.49,52.2,9,48.0
49,2020-09-16,52.6,52.63,52.63,52.6,0,49.0
